"","sample","species","nReads"
"1332","FH_201803","Poteriospumella lacustris",220
"1333","FH_201803","Pseudo-nitzschia delicatissima",81
"1334","FH_201803","Pseudocalanus moultoni",25
"1335","FH_201803","Pycnococcus provasolii",367
"1336","FH_201803","Pyramimonas parkeae",13
"1337","FH_201803","Pythium tracheiphilum",92
"1338","FH_201803","Rhizosolenia setigera",194
"1339","FH_201803","Semibalanus cariosus",367
"1340","FH_201803","Skeletonema dohrnii",2372
"1341","FH_201803","Skeletonema japonicum",476
"1342","FH_201803","Stelligera rigida",149
"1343","FH_201803","Strongylocentrotus droebachiensis",1604
"1344","FH_201803","Thalassionema nitzschioides",1322
"1345","FH_201803","Thalassiosira nordenskioeldii",14279
"1346","FH_201803","Thalassiosira punctigera",94
"1347","FH_201803","Trebouxia aggregata",9
"1348","FH_201803","Triparma laevis",585
"1349","FH_201803",NA,307617
"1350","FH_201805","Acartia californiensis",7967
"1351","FH_201805","Acartia longiremis",38920
"1352","FH_201805","Aequorea sp. MW-2012",422
"1353","FH_201805","Alitta sp. CMC01",22223
"1354","FH_201805","Aphanomyces sp. BOLD:AAO9952",16
"1355","FH_201805","Asterionellopsis glacialis",869
"1356","FH_201805","Attheya longicornis",1120
"1357","FH_201805","Azumapecten farreri",120
"1358","FH_201805","Balanus balanus",2106
"1359","FH_201805","Bathycoccus prasinos",3166
"1360","FH_201805","Calanus pacificus",474
"1361","FH_201805","Centropages abdominalis",12909
"1362","FH_201805","Chaetoceros socialis",1751
"1363","FH_201805","Chattonella subsalsa",941
"1364","FH_201805","Chondracanthus exasperatus",249
"1365","FH_201805","Chordariaceae sp. 7 AP-2014",326
"1366","FH_201805","Chthamalus dalli",786
"1367","FH_201805","Coryne eximia",435
"1368","FH_201805","Coscinodiscus wailesii",33
"1369","FH_201805","Cylindrotheca closterium",1021
"1370","FH_201805","Dendraster excentricus",30355
"1371","FH_201805","Devaleraea mollis",34
"1372","FH_201805","Ditylum brightwellii",6629
"1373","FH_201805","Eucampia zodiacus",23
"1374","FH_201805","Fucus distichus",28
"1375","FH_201805","Gallus gallus",76
"1376","FH_201805","Gomphonema clevei",32
"1377","FH_201805","Gymnodinium sp. NVA/RUS/2008",109
"1378","FH_201805","Halidrys siliquosa",25
"1379","FH_201805","Haramonas dimorpha",27
"1380","FH_201805","Harpacticoida sp. DNZ085",1369
"1381","FH_201805","Hematodinium sp.",2619
"1382","FH_201805","Heterocapsa rotundata",644
"1383","FH_201805","Leitoscoloplos pugettensis CMC01",1756
"1384","FH_201805","Leuckartiara octona",1287
"1385","FH_201805","Macoma nasuta",2830
"1386","FH_201805","Martensia jejuensis",72
"1387","FH_201805","Mazzaella splendens",76
"1388","FH_201805","Micromonas pusilla",11164
"1389","FH_201805","Minutocellus polymorphus",37
"1390","FH_201805","Mytilus trossulus",16
"1391","FH_201805","Nitzschia cf. promare",401
"1392","FH_201805","Paracalanus sp. C AC-2013",37
"1393","FH_201805","Pedospumella sinomuralis",37
"1394","FH_201805","Penicillium sclerotiorum",20
"1395","FH_201805","Phaeocystis antarctica",9239
"1396","FH_201805","Phaeocystis globosa",65
"1397","FH_201805","Phytophthora multivora",29
"1398","FH_201805","Phytophthora taxon paludosa",87
"1399","FH_201805","Pinnularia sp. 5 CS-2011",4270
"1400","FH_201805","Polychaeta sp. NB-Po356",1045
"1401","FH_201805","Polyneura latissima",36
"1402","FH_201805","Polysiphonia hendryi",3038
"1403","FH_201805","Poteriospumella lacustris",153
"1404","FH_201805","Prionospio steenstrupi",1171
"1405","FH_201805","Protoperidinium cf. depressum",458
"1406","FH_201805","Pseudo-nitzschia delicatissima",2594
"1407","FH_201805","Pseudo-nitzschia hasleana",957
"1408","FH_201805","Pseudocalanus moultoni",260
"1409","FH_201805","Pseudocalanus newmani",6034
"1410","FH_201805","Pycnococcus provasolii",3407
"1411","FH_201805","Pyramimonas parkeae",91
"1412","FH_201805","Pythium pachycaule",672
"1413","FH_201805","Pythium tracheiphilum",3074
"1414","FH_201805","Rhizosolenia setigera",1559
"1415","FH_201805","Saxidomus gigantea",638
"1416","FH_201805","Sellaphora bacillum",435
"1417","FH_201805","Skeletonema cf. pseudocostatum",77
"1418","FH_201805","Skeletonema japonicum",6223
"1419","FH_201805","Stephanopyxis turris",54
"1420","FH_201805","Styela gibbsii",14
"1421","FH_201805","Thalassionema nitzschioides",163
"1422","FH_201805","Thalassiosira nordenskioeldii",30330
"1423","FH_201805","Thalassiosira punctigera",168
"1424","FH_201805","Tresus capax",6
"1425","FH_201805",NA,325759
"1426","FH_201807","Acartia longiremis",40705
"1427","FH_201807","Attheya longicornis",3
"1428","FH_201807","Azumapecten farreri",43
"1429","FH_201807","Bathycoccus prasinos",14022
"1430","FH_201807","Blastocladiella emersonii",44
"1431","FH_201807","Bougainvillia muscus",8
"1432","FH_201807","Callithamnion pikeanum",8
"1433","FH_201807","Centropages abdominalis",2541
"1434","FH_201807","Chaetoceros socialis",31
"1435","FH_201807","Chattonella subsalsa",15
"1436","FH_201807","Cliona chilensis",94
"1437","FH_201807","Coscinodiscus wailesii",88631
"1438","FH_201807","Cylindrotheca closterium",96
"1439","FH_201807","Dictyocha speculum",137
"1440","FH_201807","Ditylum brightwellii",2
"1441","FH_201807","Fucus distichus",6
"1442","FH_201807","Heterocapsa rotundata",2753
"1443","FH_201807","Heterosigma akashiwo",263
"1444","FH_201807","Homo sapiens",29
"1445","FH_201807","Leuckartiara octona",140
"1446","FH_201807","Macoma nasuta",8
"1447","FH_201807","Mazzaella sp. GWS-2013b",10
"1448","FH_201807","Membranipora membranacea",301
"1449","FH_201807","Mesocentrotus franciscanus",60
"1450","FH_201807","Micromonas pusilla",29511
"1451","FH_201807","Minutocellus polymorphus",2965
"1452","FH_201807","Muggiaea atlantica",289
"1453","FH_201807","Paracalanus sp. C AC-2013",430
"1454","FH_201807","Parvamoeba rugata",13
"1455","FH_201807","Penicillium rubens",309
"1456","FH_201807","Penicillium sclerotiorum",34
"1457","FH_201807","Phaeocystis antarctica",318
"1458","FH_201807","Phaeocystis globosa",14
"1459","FH_201807","Phytophthora riparia",12
"1460","FH_201807","Pinnularia sp. 5 CS-2011",47
"1461","FH_201807","Polycirrus sp. CMC05",422
"1462","FH_201807","Protoperidinium cf. depressum",314
"1463","FH_201807","Pseudo-nitzschia hasleana",44
"1464","FH_201807","Pseudocalanus newmani",10069
"1465","FH_201807","Pythium pachycaule",6
"1466","FH_201807","Pythium tracheiphilum",156
"1467","FH_201807","Rhizosolenia setigera",222
"1468","FH_201807","Skeletonema japonicum",18
"1469","FH_201807","Thalassionema nitzschioides",6
"1470","FH_201807","Thalassiosira nordenskioeldii",946
"1471","FH_201807","Triparma laevis",4
"1472","FH_201807",NA,231150
"1473","LK_201706","Acartia longiremis",12
"1474","LK_201706","Acrochaetium arcuatum",218
"1475","LK_201706","Acrochaetium moniliforme",22
"1476","LK_201706","Aequorea sp. MW-2012",10526
"1477","LK_201706","Anisolpidium ectocarpii",18
"1478","LK_201706","Aphanomyces sp. BOLD:AAO9952",15
"1479","LK_201706","Apodachlya minima",393
"1480","LK_201706","Asterionellopsis tropicalis",14
"1481","LK_201706","Attheya longicornis",28
"1482","LK_201706","Aurelia labiata",33573
"1483","LK_201706","Bathycoccus prasinos",3687
"1484","LK_201706","Blastocladiella emersonii",699
"1485","LK_201706","Calanus pacificus",668
"1486","LK_201706","Callithamnion pikeanum",59
"1487","LK_201706","Chaetoceros socialis",2369
"1488","LK_201706","Chattonella subsalsa",1357
"1489","LK_201706","Chordariaceae sp. 2 AP-2014",11
"1490","LK_201706","Chordariaceae sp. 7 AP-2014",120
"1491","LK_201706","Chrysaora melanaster",19
"1492","LK_201706","Clytia gracilis",371
"1493","LK_201706","Corallina vancouveriensis",12
"1494","LK_201706","Coscinodiscus wailesii",84
"1495","LK_201706","Cylindrotheca closterium",1471
"1496","LK_201706","Cystoseira geminata",2006
"1497","LK_201706","Dictyocha speculum",57
"1498","LK_201706","Ditylum brightwellii",533
"1499","LK_201706","Dodecaceria sp. CMC01",17
"1500","LK_201706","Fucus distichus",32
"1501","LK_201706","Gomphonema clevei",8
"1502","LK_201706","Grammonema striatula",8276
"1503","LK_201706","Gymnodinium sp. NVA/RUS/2008",141
"1504","LK_201706","Halichondria panicea",58
"1505","LK_201706","Halidrys siliquosa",2
"1506","LK_201706","Haptoglossa zoospora",10
"1507","LK_201706","Hecatonema maculans",5521
"1508","LK_201706","Hematodinium sp.",4
"1509","LK_201706","Heterocapsa rotundata",878
"1510","LK_201706","Lacuna vincta",329
"1511","LK_201706","Laminariocolax aecidioides",8
"1512","LK_201706","Leathesia marina",212
"1513","LK_201706","Leptasterias hexactis",5
"1514","LK_201706","Leuckartiara octona",563
"1515","LK_201706","Lichtheimia ramosa",5
"1516","LK_201706","Liparis florae",480
"1517","LK_201706","Littorina scutulata",259
"1518","LK_201706","Lottia paradigitalis",201
"1519","LK_201706","Martensia jejuensis",37
"1520","LK_201706","Megacyclops viridis",5
"1521","LK_201706","Membranipora membranacea",252
"1522","LK_201706","Mesocentrotus franciscanus",16
"1523","LK_201706","Microcladia coulteri",1738
"1524","LK_201706","Micromonas pusilla",14312
"1525","LK_201706","Microspongium alariae",14
"1526","LK_201706","Minutocellus polymorphus",1717
"1527","LK_201706","Myrionema balticum",38
"1528","LK_201706","Naineris dendritica CMC02",19
"1529","LK_201706","Nanomia bijuga",3324
"1530","LK_201706","Navicula cryptocephala",124
"1531","LK_201706","Navicula glaciei",77
"1532","LK_201706","Navicula sp. BOLD:AAO6949",17
"1533","LK_201706","Navicula sp. BOLD:AAO6950",19
"1534","LK_201706","Navicula sp. BOLD:AAO6951",340
"1535","LK_201706","Neorhodomela oregona",99
"1536","LK_201706","Nereocystis luetkeana",3483
"1537","LK_201706","Nitzschia cf. promare",1261
"1538","LK_201706","Nitzschia cf. recta RT-2009",38
"1539","LK_201706","Odonthalia floccosa",3603
"1540","LK_201706","Paramoeba pemaquidensis",162
"1541","LK_201706","Parvamoeba rugata",14
"1542","LK_201706","Pedospumella sinomuralis",33
"1543","LK_201706","Phacellophora camtschatica",10184
"1544","LK_201706","Phaeocystis antarctica",684
"1545","LK_201706","Phaeocystis globosa",13
"1546","LK_201706","Pinnularia sp. 5 CS-2011",1181
"1547","LK_201706","Polysiphonia hendryi",644
"1548","LK_201706","Protoperidinium cf. depressum",154
"1549","LK_201706","Pseudo-nitzschia delicatissima",4245
"1550","LK_201706","Pseudo-nitzschia hasleana",196
"1551","LK_201706","Pseudocalanus newmani",1957
"1552","LK_201706","Pterosiphonia bipinnata",13
"1553","LK_201706","Pyropia fallax",115
"1554","LK_201706","Pythium pachycaule",582
"1555","LK_201706","Pythium tracheiphilum",1645
"1556","LK_201706","Ralfsioid sp. 4GWS",324
"1557","LK_201706","Rhizosolenia setigera",608
"1558","LK_201706","Saprolegnia diclina",574
"1559","LK_201706","Scytosiphon lomentaria",3
"1560","LK_201706","Skeletonema cf. pseudocostatum",158
"1561","LK_201706","Skeletonema dohrnii",28
"1562","LK_201706","Skeletonema japonicum",343
"1563","LK_201706","Soranthera ulvoidea",82
"1564","LK_201706","Stephanopyxis turris",3
"1565","LK_201706","Striaria attenuata",3
"1566","LK_201706","Strongylocentrotus droebachiensis",892
"1567","LK_201706","Thalassionema nitzschioides",160
"1568","LK_201706","Thalassiosira nordenskioeldii",3156
"1569","LK_201706","Thalassiosira pseudonana",6
"1570","LK_201706","Thecamonas trahens",271
"1571","LK_201706","Triparma laevis",6
"1572","LK_201706","Wildemania sp. 5POR",144
"1573","LK_201706",NA,164396
"1574","LK_201707","Acartia longiremis",21543
"1575","LK_201707","Aequorea sp. MW-2012",36
"1576","LK_201707","Apodachlya minima",37
"1577","LK_201707","Asterionellopsis tropicalis",8
"1578","LK_201707","Attheya longicornis",122
"1579","LK_201707","Aurelia labiata",207
"1580","LK_201707","Balanus glandula",20
"1581","LK_201707","Bathycoccus prasinos",278
"1582","LK_201707","Blastocladiella emersonii",70
"1583","LK_201707","Bossiella frondescens",111
"1584","LK_201707","Brachionidae sp. SHYT150702c",69
"1585","LK_201707","Calanus pacificus",488
"1586","LK_201707","Calliarthron tuberculosum",203
"1587","LK_201707","Chaetoceros socialis",667
"1588","LK_201707","Chaetoceros sp. MBTD-CMFRI-S062",2
"1589","LK_201707","Chattonella subsalsa",563
"1590","LK_201707","Chordariaceae sp. 7 AP-2014",14
"1591","LK_201707","Chrysochromulina sp. CCMP291",4
"1592","LK_201707","Chthamalus dalli",53
"1593","LK_201707","Cliona chilensis",7
"1594","LK_201707","Clytia gracilis",268
"1595","LK_201707","Corallina vancouveriensis",52
"1596","LK_201707","Coscinodiscus wailesii",18686
"1597","LK_201707","Cylindrotheca closterium",1290
"1598","LK_201707","Cystoseira geminata",75
"1599","LK_201707","Dictyocha speculum",471
"1600","LK_201707","Ditylum brightwellii",268
"1601","LK_201707","Dodecaceria sp. CMC01",58
"1602","LK_201707","Emiliania huxleyi",4
"1603","LK_201707","Eucampia zodiacus",6
"1604","LK_201707","Eunice valens",1487
"1605","LK_201707","Glycera sp. CMC03",7
"1606","LK_201707","Grammonema striatula",609
"1607","LK_201707","Halichondria panicea",370
"1608","LK_201707","Halidrys siliquosa",19
"1609","LK_201707","Hecatonema maculans",2096
"1610","LK_201707","Hematodinium sp.",53
"1611","LK_201707","Heterocapsa rotundata",156
"1612","LK_201707","Hincksia hincksiae",74
"1613","LK_201707","Lacuna vincta",7661
"1614","LK_201707","Laminariocolax aecidioides",63
"1615","LK_201707","Leathesia marina",16
"1616","LK_201707","Membranipora membranacea",3563
"1617","LK_201707","Microcladia coulteri",113
"1618","LK_201707","Micromonas pusilla",2710
"1619","LK_201707","Microspongium alariae",37
"1620","LK_201707","Minutocellus polymorphus",2032
"1621","LK_201707","Mytilus trossulus",70
"1622","LK_201707","Navicula cryptocephala",4
"1623","LK_201707","Navicula glaciei",143
"1624","LK_201707","Navicula sp. BOLD:AAO6950",6
"1625","LK_201707","Navicula sp. BOLD:AAO6951",6
"1626","LK_201707","Neorhodomela oregona",30
"1627","LK_201707","Nereocystis luetkeana",2746
"1628","LK_201707","Nitzschia cf. promare",238
"1629","LK_201707","Odonthalia floccosa",24
"1630","LK_201707","Orthopyxis integra",9
"1631","LK_201707","Paracalanus sp. C AC-2013",126
"1632","LK_201707","Phacellophora camtschatica",1284
"1633","LK_201707","Phaeocystis antarctica",1043
"1634","LK_201707","Phaeocystis globosa",60
"1635","LK_201707","Phytophthora riparia",8
"1636","LK_201707","Pinnularia sp. 5 CS-2011",5
"1637","LK_201707","Platynereis bicanaliculata",11
"1638","LK_201707","Polysiphonia hendryi",401
"1639","LK_201707","Poteriospumella lacustris",66
"1640","LK_201707","Protoperidinium cf. depressum",427
"1641","LK_201707","Pseudo-nitzschia hasleana",11
"1642","LK_201707","Pseudocalanus moultoni",47
"1643","LK_201707","Pseudocalanus newmani",16372
"1644","LK_201707","Pseudochattonella farcimen",9
"1645","LK_201707","Pterosiphonia bipinnata",55
"1646","LK_201707","Pyropia nereocystis",31
"1647","LK_201707","Pythium tracheiphilum",1578
"1648","LK_201707","Ralfsioid sp. 4GWS",8
"1649","LK_201707","Rhizosolenia setigera",433
"1650","LK_201707","Salispina spinosa",10
"1651","LK_201707","Sellaphora bacillum",2
"1652","LK_201707","Semibalanus cariosus",356
"1653","LK_201707","Skeletonema dohrnii",4
"1654","LK_201707","Skeletonema japonicum",2
"1655","LK_201707","Stephanopyxis turris",164
"1656","LK_201707","Strongylocentrotus droebachiensis",1738
"1657","LK_201707","Syllis alternata CMC01",11298
"1658","LK_201707","Synchaeta pectinata",104
"1659","LK_201707","Thalassionema nitzschioides",5
"1660","LK_201707","Thalassiosira nordenskioeldii",608
"1661","LK_201707","Thecamonas trahens",188
"1662","LK_201707","Thelepus crispus",44
"1663","LK_201707","Tonicella lineata",109
"1664","LK_201707","Triparma laevis",7
"1665","LK_201707",NA,166408
"1666","LK_201708","Acartia californiensis",589
"1667","LK_201708","Acartia longiremis",903
"1668","LK_201708","Apodachlya minima",16
"1669","LK_201708","Asterionellopsis glacialis",35
"1670","LK_201708","Asterionellopsis tropicalis",78
"1671","LK_201708","Attheya longicornis",148
"1672","LK_201708","Aurelia labiata",5
"1673","LK_201708","Azumapecten farreri",213
"1674","LK_201708","Balanus glandula",51
"1675","LK_201708","Bathycoccus prasinos",3485
"1676","LK_201708","Boccardia proboscidea",93
"1677","LK_201708","Calanus pacificus",76
"1678","LK_201708","Calliarthron tuberculosum",23
"1679","LK_201708","Campanularia volubilis",4
"1680","LK_201708","Chaetoceros socialis",1734
"1681","LK_201708","Chaetoceros sp. MBTD-CMFRI-S062",600
"1682","LK_201708","Chattonella subsalsa",96
"1683","LK_201708","Chrysochromulina sp. CCMP291",59
"1684","LK_201708","Cliona chilensis",7
"1685","LK_201708","Clytia gracilis",963
"1686","LK_201708","Corallina vancouveriensis",157
"1687","LK_201708","Coscinodiscus wailesii",133
"1688","LK_201708","Cylindrotheca closterium",2604
"1689","LK_201708","Cystoseira geminata",305
"1690","LK_201708","Dasybranchus sp. DH1",12
"1691","LK_201708","Devaleraea mollis",72
"1692","LK_201708","Dictyocha speculum",1408
"1693","LK_201708","Ditylum brightwellii",244
"1694","LK_201708","Dodecaceria sp. CMC01",45
"1695","LK_201708","Emiliania huxleyi",18
"1696","LK_201708","Fucus distichus",53
"1697","LK_201708","Gomphonema parvulum",28
"1698","LK_201708","Grammonema striatula",196
"1699","LK_201708","Halichondria panicea",76
"1700","LK_201708","Hecatonema maculans",1336
"1701","LK_201708","Hematodinium sp.",7
"1702","LK_201708","Heterocapsa rotundata",130
"1703","LK_201708","Hildenbrandia sp. 27GWS",4
"1704","LK_201708","Homo sapiens",9
"1705","LK_201708","Lacuna vincta",923
"1706","LK_201708","Laminariocolax aecidioides",79
"1707","LK_201708","Leptasterias hexactis",17
"1708","LK_201708","Littorina sitkana",8
"1709","LK_201708","Lottia paradigitalis",830
"1710","LK_201708","Mazzaella rosea",74
"1711","LK_201708","Mazzaella splendens",1001
"1712","LK_201708","Megacyclops viridis",19730
"1713","LK_201708","Membranipora membranacea",4136
"1714","LK_201708","Mesocentrotus franciscanus",56
"1715","LK_201708","Microcladia coulteri",214
"1716","LK_201708","Micromonas pusilla",12437
"1717","LK_201708","Microspongium alariae",522
"1718","LK_201708","Minutocellus polymorphus",19819
"1719","LK_201708","Muggiaea atlantica",44
"1720","LK_201708","Navicula glaciei",46
"1721","LK_201708","Navicula sp. BOLD:AAO6949",49
"1722","LK_201708","Navicula sp. BOLD:AAO6950",15
"1723","LK_201708","Navicula sp. BOLD:AAO6951",4
"1724","LK_201708","Neorhodomela oregona",12
"1725","LK_201708","Nereis vexillosa",3095
"1726","LK_201708","Nereocystis luetkeana",4620
"1727","LK_201708","Nicolea zostericola",15
"1728","LK_201708","Nitzschia cf. promare",303
"1729","LK_201708","Odonthalia floccosa",44
"1730","LK_201708","Orthopyxis integra",71
"1731","LK_201708","Paracalanus sp. C AC-2013",57
"1732","LK_201708","Paramoeba pemaquidensis",12
"1733","LK_201708","Parvamoeba rugata",7
"1734","LK_201708","Phaeocystis antarctica",5519
"1735","LK_201708","Phaeocystis globosa",38
"1736","LK_201708","Phytophthora multivora",7
"1737","LK_201708","Phytophthora taxon paludosa",6
"1738","LK_201708","Pinnularia sp. 5 CS-2011",42
"1739","LK_201708","Plagiogramma sp. IAL-2014a",5
"1740","LK_201708","Platynereis bicanaliculata",10
"1741","LK_201708","Polydora lingshuiensis",2
"1742","LK_201708","Polysiphonia hendryi",828
"1743","LK_201708","Poteriospumella lacustris",68
"1744","LK_201708","Protoperidinium cf. depressum",98
"1745","LK_201708","Pseudo-nitzschia delicatissima",30
"1746","LK_201708","Pseudo-nitzschia hasleana",199
"1747","LK_201708","Pseudocalanus moultoni",13
"1748","LK_201708","Pseudocalanus newmani",20658
"1749","LK_201708","Pseudochattonella farcimen",5
"1750","LK_201708","Pterosiphonia bipinnata",36
"1751","LK_201708","Pycnococcus provasolii",21
"1752","LK_201708","Pyropia nereocystis",857
"1753","LK_201708","Pythium tracheiphilum",106
"1754","LK_201708","Ralfsioid sp. 4GWS",172
"1755","LK_201708","Rhizosolenia setigera",2018
"1756","LK_201708","Rostanga pulchra",28
"1757","LK_201708","Schistomeringos longicornis",7
"1758","LK_201708","Sellaphora bacillum",8
"1759","LK_201708","Sellaphora pupula",4
"1760","LK_201708","Semibalanus cariosus",297
"1761","LK_201708","Skeletonema cf. pseudocostatum",34
"1762","LK_201708","Skeletonema dohrnii",4
"1763","LK_201708","Stephanopyxis turris",157
"1764","LK_201708","Strongylocentrotus droebachiensis",1225
"1765","LK_201708","Thalassiosira nordenskioeldii",4496
"1766","LK_201708","Thecamonas trahens",102
"1767","LK_201708","Thelepus crispus",782
"1768","LK_201708","Thelepus sp. CMC01",63
"1769","LK_201708","Triparma laevis",41
"1770","LK_201708","Wildemania sp. 5POR",35
"1771","LK_201708",NA,135782
"1772","LK_201709","Acartia longiremis",23635
"1773","LK_201709","Acrochaetium arcuatum",362
"1774","LK_201709","Acrochaetium moniliforme",257
"1775","LK_201709","Anisolpidium ectocarpii",2
"1776","LK_201709","Apodachlya minima",8
"1777","LK_201709","Bathycoccus prasinos",139779
"1778","LK_201709","Blastocladiella emersonii",48
"1779","LK_201709","Boccardia proboscidea",298
"1780","LK_201709","Cafeteria roenbergensis",22
"1781","LK_201709","Chattonella subsalsa",4
"1782","LK_201709","Chrysochromulina sp. CCMP291",17
"1783","LK_201709","Chthamalus dalli",112
"1784","LK_201709","Clytia gracilis",1820
"1785","LK_201709","Corallina vancouveriensis",193
"1786","LK_201709","Coscinodiscus wailesii",214
"1787","LK_201709","Cylindrotheca closterium",1222
"1788","LK_201709","Dictyocha speculum",37
"1789","LK_201709","Ditylum brightwellii",26
"1790","LK_201709","Dolichomastix tenuilepis",129
"1791","LK_201709","Emiliania huxleyi",577
"1792","LK_201709","Fucus distichus",3
"1793","LK_201709","Gomphonema parvulum",26
"1794","LK_201709","Grammonema striatula",555
"1795","LK_201709","Halichondria panicea",1620
"1796","LK_201709","Hecatonema maculans",1182
"1797","LK_201709","Hematodinium sp.",2
"1798","LK_201709","Heterocapsa rotundata",2676
"1799","LK_201709","Hildenbrandia sp. 27GWS",166
"1800","LK_201709","Homo sapiens",8
"1801","LK_201709","Hydra circumcincta",837
"1802","LK_201709","Laminariocolax aecidioides",17
"1803","LK_201709","Leathesia marina",20
"1804","LK_201709","Leptasterias hexactis",1656
"1805","LK_201709","Lichtheimia ramosa",18
"1806","LK_201709","Littorina sitkana",15
"1807","LK_201709","Lottia paradigitalis",28611
"1808","LK_201709","Martensia jejuensis",12
"1809","LK_201709","Mastocarpus alaskensis",5
"1810","LK_201709","Mazzaella rosea",40
"1811","LK_201709","Mazzaella splendens",201
"1812","LK_201709","Membranipora membranacea",529
"1813","LK_201709","Mesocentrotus franciscanus",10
"1814","LK_201709","Microcladia sp. 1Cal",63
"1815","LK_201709","Micromonas pusilla",34902
"1816","LK_201709","Microspongium alariae",124
"1817","LK_201709","Minutocellus polymorphus",25869
"1818","LK_201709","Naineris dendritica CMC02",350
"1819","LK_201709","Navicula cryptocephala",109
"1820","LK_201709","Navicula sp. BOLD:AAO6950",37
"1821","LK_201709","Navicula sp. BOLD:AAO6951",5
"1822","LK_201709","Neorhodomela oregona",1284
"1823","LK_201709","Nereocystis luetkeana",822
"1824","LK_201709","Nitzschia cf. promare",219
"1825","LK_201709","Oligocottus maculosus",293
"1826","LK_201709","Ostrea lurida",3
"1827","LK_201709","Paracalanus sp. C AC-2013",49
"1828","LK_201709","Parvamoeba rugata",4
"1829","LK_201709","Petalonia fascia",6
"1830","LK_201709","Phaeocystis antarctica",1480
"1831","LK_201709","Phaeocystis globosa",277
"1832","LK_201709","Phytophthora riparia",5
"1833","LK_201709","Pinnularia sp. 5 CS-2011",3
"1834","LK_201709","Pisaster ochraceus",41
"1835","LK_201709","Platynereis bicanaliculata",242
"1836","LK_201709","Polydora lingshuiensis",145
"1837","LK_201709","Polynoidae sp. C_0250",14604
"1838","LK_201709","Polysiphonia hendryi",1604
"1839","LK_201709","Poteriospumella lacustris",16
"1840","LK_201709","Prionitis sternbergii",42
"1841","LK_201709","Proboscidactyla flavicirrata",22
"1842","LK_201709","Protoperidinium cf. depressum",29
"1843","LK_201709","Pseudocalanus acuspes",8
"1844","LK_201709","Pseudocalanus newmani",20378
"1845","LK_201709","Pseudochattonella farcimen",251
"1846","LK_201709","Pseudolithophyllum sp. 2whidbeyense",279
"1847","LK_201709","Pterosiphonia bipinnata",377
"1848","LK_201709","Pycnococcus provasolii",405
"1849","LK_201709","Pyropia nereocystis",57
"1850","LK_201709","Pyropia perforata",297
"1851","LK_201709","Pythium tracheiphilum",282
"1852","LK_201709","Ralfsioid sp. 4GWS",4928
"1853","LK_201709","Rhizosolenia setigera",24973
"1854","LK_201709","Sellaphora pupula",2
"1855","LK_201709","Semibalanus cariosus",44
"1856","LK_201709","Skeletonema cf. pseudocostatum",5
"1857","LK_201709","Skeletonema dohrnii",5
"1858","LK_201709","Skeletonema japonicum",65
"1859","LK_201709","Stelligera rigida",15
"1860","LK_201709","Strongylocentrotus droebachiensis",2711
"1861","LK_201709","Thalassionema nitzschioides",5
"1862","LK_201709","Thalassiosira nordenskioeldii",8720
"1863","LK_201709","Thecamonas trahens",11
"1864","LK_201709","Thelepus crispus",796
"1865","LK_201709","Triparma laevis",37
"1866","LK_201709","Tylos sp. clade D MM-2013",20
"1867","LK_201709","Wildemania amplissima",5
"1868","LK_201709",NA,118927
"1869","LK_201710","Acartia longiremis",4395
"1870","LK_201710","Acrochaetium arcuatum",93
"1871","LK_201710","Acrochaetium moniliforme",23
"1872","LK_201710","Asterionellopsis tropicalis",7
"1873","LK_201710","Attheya longicornis",3
"1874","LK_201710","Balanus glandula",35
"1875","LK_201710","Bathycoccus prasinos",30122
"1876","LK_201710","Blastocladiella emersonii",124
"1877","LK_201710","Boccardia proboscidea",100
"1878","LK_201710","Callophyllis flabellulata",76
"1879","LK_201710","Centropages abdominalis",47
"1880","LK_201710","Chaetoceros socialis",596
"1881","LK_201710","Chaetoceros sp. MBTD-CMFRI-S062",36
"1882","LK_201710","Chattonella subsalsa",247
"1883","LK_201710","Chondracanthus exasperatus",5
"1884","LK_201710","Chordariaceae sp. 2 AP-2014",27
"1885","LK_201710","Chrysochromulina sp. CCMP291",57
"1886","LK_201710","Chthamalus dalli",5602
"1887","LK_201710","Cliona chilensis",7
"1888","LK_201710","Clytia gracilis",22
"1889","LK_201710","Corallina vancouveriensis",13
"1890","LK_201710","Cordyceps militaris",10
"1891","LK_201710","Coscinodiscus wailesii",1535
"1892","LK_201710","Dendraster excentricus",81
"1893","LK_201710","Dictyocha speculum",183
"1894","LK_201710","Ditylum brightwellii",335
"1895","LK_201710","Emiliania huxleyi",103
"1896","LK_201710","Eucampia zodiacus",2
"1897","LK_201710","Eunice valens",817
"1898","LK_201710","Fucus distichus",197
"1899","LK_201710","Halichondria panicea",76
"1900","LK_201710","Hecatonema maculans",10
"1901","LK_201710","Hematodinium sp.",29
"1902","LK_201710","Heterocapsa rotundata",936
"1903","LK_201710","Hildenbrandia sp. 27GWS",173
"1904","LK_201710","Hincksia hincksiae",32
"1905","LK_201710","Homo sapiens",1054
"1906","LK_201710","Laminariocolax aecidioides",2
"1907","LK_201710","Leptasterias hexactis",146
"1908","LK_201710","Littorina plena",35
"1909","LK_201710","Littorina scutulata",30
"1910","LK_201710","Littorina sitkana",80
"1911","LK_201710","Lottia paradigitalis",406
"1912","LK_201710","Macoma nasuta",178
"1913","LK_201710","Mastocarpus alaskensis",65
"1914","LK_201710","Membranipora membranacea",20
