"","sample","species","nReads"
"2362","CP_201807A.3","Minutocellus polymorphus",1502
"2363","CP_201807A.3","Navicula sp. BOLD:AAO6951",9
"2364","CP_201807A.3","Neorhodomela oregona",4
"2365","CP_201807A.3","Nereocystis luetkeana",5
"2366","CP_201807A.3","Nitzschia cf. promare",13
"2367","CP_201807A.3","Phaeocystis globosa",9
"2368","CP_201807A.3","Pyropia fallax",265
"2369","CP_201807A.3","Rhizosolenia setigera",2954
"2370","CP_201807A.3","Sellaphora pupula",8
"2371","CP_201807A.3","Semibalanus cariosus",178
"2372","CP_201807A.3","Smithora naiadum",26
"2373","CP_201807A.3","Thalassiosira nordenskioeldii",321
"2374","CP_201807A.3","Wildemania sp. 5POR",881
"2375","CP_201807A.3",NA,29490
"2376","CP_201807B.1","Acartia longiremis",318
"2377","CP_201807B.1","Bathycoccus prasinos",2058
"2378","CP_201807B.1","Chaetoceros socialis",10
"2379","CP_201807B.1","Chone magna CMC02",1675
"2380","CP_201807B.1","Chthamalus dalli",1568
"2381","CP_201807B.1","Corallina vancouveriensis",21
"2382","CP_201807B.1","Coscinodiscus wailesii",1863
"2383","CP_201807B.1","Devaleraea mollis",14
"2384","CP_201807B.1","Dictyocha speculum",46
"2385","CP_201807B.1","Halichondria panicea",79
"2386","CP_201807B.1","Hecatonema maculans",26
"2387","CP_201807B.1","Heterocapsa rotundata",399
"2388","CP_201807B.1","Heterosigma akashiwo",13
"2389","CP_201807B.1","Mazzaella splendens",90
"2390","CP_201807B.1","Micromonas pusilla",3695
"2391","CP_201807B.1","Microspongium alariae",7
"2392","CP_201807B.1","Minutocellus polymorphus",152
"2393","CP_201807B.1","Navicula sp. BOLD:AAO6949",9
"2394","CP_201807B.1","Nereocystis luetkeana",34
"2395","CP_201807B.1","Phaeocystis globosa",10
"2396","CP_201807B.1","Protoperidinium cf. depressum",28
"2397","CP_201807B.1","Pyropia fallax",179
"2398","CP_201807B.1","Pythium pachycaule",3
"2399","CP_201807B.1","Pythium tracheiphilum",17
"2400","CP_201807B.1","Rhizosolenia setigera",3550
"2401","CP_201807B.1","Schizobranchia insignis",178
"2402","CP_201807B.1","Semibalanus cariosus",108
"2403","CP_201807B.1","Smithora naiadum",13
"2404","CP_201807B.1","Thalassiosira nordenskioeldii",58
"2405","CP_201807B.1","Thelepus sp. CMC01",170
"2406","CP_201807B.1","Wildemania amplissima",14
"2407","CP_201807B.1","Wildemania sp. 5POR",799
"2408","CP_201807B.1","Wildemania sp. HK-2011",13
"2409","CP_201807B.1",NA,18218
"2410","CP_201807B.2","Acartia longiremis",208
"2411","CP_201807B.2","Amathia vidovici",4
"2412","CP_201807B.2","Azumapecten farreri",22
"2413","CP_201807B.2","Bathycoccus prasinos",1707
"2414","CP_201807B.2","Chone magna CMC02",2179
"2415","CP_201807B.2","Chthamalus dalli",1957
"2416","CP_201807B.2","Coscinodiscus wailesii",1524
"2417","CP_201807B.2","Cylindrotheca closterium",208
"2418","CP_201807B.2","Dictyocha speculum",4
"2419","CP_201807B.2","Fucus distichus",7
"2420","CP_201807B.2","Halichondria panicea",11
"2421","CP_201807B.2","Heterocapsa rotundata",317
"2422","CP_201807B.2","Heterosigma akashiwo",5
"2423","CP_201807B.2","Homo sapiens",16
"2424","CP_201807B.2","Mazzaella splendens",116
"2425","CP_201807B.2","Micromonas pusilla",4178
"2426","CP_201807B.2","Minutocellus polymorphus",470
"2427","CP_201807B.2","Nereocystis luetkeana",6
"2428","CP_201807B.2","Nitzschia cf. promare",26
"2429","CP_201807B.2","Protoperidinium cf. depressum",32
"2430","CP_201807B.2","Pyropia fallax",112
"2431","CP_201807B.2","Pythium tracheiphilum",34
"2432","CP_201807B.2","Rhizosolenia setigera",3330
"2433","CP_201807B.2","Semibalanus cariosus",33
"2434","CP_201807B.2","Smithora naiadum",5
"2435","CP_201807B.2","Thalassiosira nordenskioeldii",13
"2436","CP_201807B.2","Thelepus crispus",48
"2437","CP_201807B.2","Thelepus sp. CMC01",1584
"2438","CP_201807B.2","Wildemania sp. 5POR",687
"2439","CP_201807B.2",NA,20140
"2440","CP_201807B.3","Acartia longiremis",685
"2441","CP_201807B.3","Amathia vidovici",28
"2442","CP_201807B.3","Ammodytes hexapterus",414
"2443","CP_201807B.3","Balanus glandula",45
"2444","CP_201807B.3","Bathycoccus prasinos",1577
"2445","CP_201807B.3","Blastocladiella emersonii",14
"2446","CP_201807B.3","Boccardia proboscidea",32
"2447","CP_201807B.3","Chaetoceros socialis",7
"2448","CP_201807B.3","Chattonella subsalsa",132
"2449","CP_201807B.3","Chone magna CMC02",1274
"2450","CP_201807B.3","Chthamalus dalli",1833
"2451","CP_201807B.3","Coscinodiscus wailesii",1964
"2452","CP_201807B.3","Cylindrotheca closterium",154
"2453","CP_201807B.3","Devaleraea mollis",18
"2454","CP_201807B.3","Dictyocha speculum",127
"2455","CP_201807B.3","Euclymene sp. BOLD:ACG1020",203
"2456","CP_201807B.3","Fucus distichus",17
"2457","CP_201807B.3","Grammonema striatula",286
"2458","CP_201807B.3","Hecatonema maculans",30
"2459","CP_201807B.3","Heterocapsa rotundata",335
"2460","CP_201807B.3","Heterosigma akashiwo",30
"2461","CP_201807B.3","Hildenbrandia sp. 27GWS",180
"2462","CP_201807B.3","Homo sapiens",56
"2463","CP_201807B.3","Laminariocolax aecidioides",2
"2464","CP_201807B.3","Lottia paradigitalis",386
"2465","CP_201807B.3","Mazzaella splendens",140
"2466","CP_201807B.3","Micromonas pusilla",5260
"2467","CP_201807B.3","Minutocellus polymorphus",11
"2468","CP_201807B.3","Nereocystis luetkeana",34
"2469","CP_201807B.3","Nitzschia cf. promare",156
"2470","CP_201807B.3","Paracalanus sp. C AC-2013",11
"2471","CP_201807B.3","Penicillium rubens",39
"2472","CP_201807B.3","Pisaster ochraceus",171
"2473","CP_201807B.3","Protoperidinium cf. depressum",57
"2474","CP_201807B.3","Pyramimonas parkeae",21
"2475","CP_201807B.3","Pyropia fallax",297
"2476","CP_201807B.3","Pythium tracheiphilum",60
"2477","CP_201807B.3","Ralfsioid sp. 4GWS",101
"2478","CP_201807B.3","Rhizosolenia setigera",3035
"2479","CP_201807B.3","Sarcodiotheca sp. 2gaudichaudii",63
"2480","CP_201807B.3","Semibalanus cariosus",426
"2481","CP_201807B.3","Smithora naiadum",26
"2482","CP_201807B.3","Thalassiosira nordenskioeldii",10
"2483","CP_201807B.3","Thelepus sp. CMC01",500
"2484","CP_201807B.3","Triparma laevis",30
"2485","CP_201807B.3","Wildemania amplissima",9
"2486","CP_201807B.3","Wildemania sp. 5POR",1412
"2487","CP_201807B.3",NA,23975
"2488","CP_201807C.1","Acartia longiremis",2888
"2489","CP_201807C.1","Amathia vidovici",37
"2490","CP_201807C.1","Apodachlya minima",8
"2491","CP_201807C.1","Bathycoccus prasinos",3483
"2492","CP_201807C.1","Blastocladiella emersonii",5
"2493","CP_201807C.1","Chaetoceros socialis",2
"2494","CP_201807C.1","Chordariaceae sp. 17 AP-2014",2
"2495","CP_201807C.1","Clytia gracilis",5
"2496","CP_201807C.1","Corallina vancouveriensis",10
"2497","CP_201807C.1","Coscinodiscus wailesii",3196
"2498","CP_201807C.1","Dictyocha speculum",47
"2499","CP_201807C.1","Emiliania huxleyi",16
"2500","CP_201807C.1","Euclymene sp. BOLD:ACG1020",7
"2501","CP_201807C.1","Fucus distichus",15
"2502","CP_201807C.1","Grammonema striatula",98
"2503","CP_201807C.1","Hematodinium sp.",4
"2504","CP_201807C.1","Heterocapsa rotundata",406
"2505","CP_201807C.1","Heterosigma akashiwo",30
"2506","CP_201807C.1","Hildenbrandia sp. 27GWS",9
"2507","CP_201807C.1","Homo sapiens",164
"2508","CP_201807C.1","Liparis florae",4
"2509","CP_201807C.1","Lottia paradigitalis",18
"2510","CP_201807C.1","Martensia jejuensis",4
"2511","CP_201807C.1","Mazzaella splendens",54
"2512","CP_201807C.1","Membranipora membranacea",60
"2513","CP_201807C.1","Micromonas pusilla",5962
"2514","CP_201807C.1","Minutocellus polymorphus",778
"2515","CP_201807C.1","Navicula glaciei",22
"2516","CP_201807C.1","Navicula sp. BOLD:AAO6950",7
"2517","CP_201807C.1","Nereocystis luetkeana",41
"2518","CP_201807C.1","Nitzschia cf. promare",20
"2519","CP_201807C.1","Odonthalia floccosa",5
"2520","CP_201807C.1","Paracalanus sp. C AC-2013",8
"2521","CP_201807C.1","Phaeocystis globosa",5
"2522","CP_201807C.1","Platynereis sp. CMC02",14
"2523","CP_201807C.1","Polysiphonia hendryi",25
"2524","CP_201807C.1","Protoperidinium cf. depressum",65
"2525","CP_201807C.1","Pyropia fallax",540
"2526","CP_201807C.1","Pythium tracheiphilum",37
"2527","CP_201807C.1","Rhizosolenia setigera",2861
"2528","CP_201807C.1","Sarcodiotheca sp. 2gaudichaudii",3
"2529","CP_201807C.1","Schizobranchia insignis",20
"2530","CP_201807C.1","Semibalanus cariosus",307
"2531","CP_201807C.1","Smithora naiadum",50
"2532","CP_201807C.1","Strongylocentrotus droebachiensis",12
"2533","CP_201807C.1","Thalassiosira nordenskioeldii",290
"2534","CP_201807C.1","Thelepus sp. CMC01",746
"2535","CP_201807C.1","Wildemania amplissima",15
"2536","CP_201807C.1","Wildemania sp. 5POR",13084
"2537","CP_201807C.1","Wildemania sp. HK-2011",11
"2538","CP_201807C.1",NA,27835
"2539","CP_201807C.2","Acartia longiremis",2525
"2540","CP_201807C.2","Apodachlya minima",10
"2541","CP_201807C.2","Balanus balanus",18
"2542","CP_201807C.2","Balanus glandula",22
"2543","CP_201807C.2","Bathycoccus prasinos",3017
"2544","CP_201807C.2","Blastocladiella emersonii",3
"2545","CP_201807C.2","Chaetoceros sp. MBTD-CMFRI-S045",4
"2546","CP_201807C.2","Chrysonoma sp. ANIC15",134
"2547","CP_201807C.2","Coscinodiscus wailesii",2826
"2548","CP_201807C.2","Cylindrotheca closterium",10
"2549","CP_201807C.2","Dictyocha speculum",87
"2550","CP_201807C.2","Euclymene sp. BOLD:ACG1020",5
"2551","CP_201807C.2","Fucus distichus",23
"2552","CP_201807C.2","Grammonema striatula",172
"2553","CP_201807C.2","Halichondria panicea",34
"2554","CP_201807C.2","Hecatonema maculans",44
"2555","CP_201807C.2","Heterocapsa rotundata",321
"2556","CP_201807C.2","Heterosigma akashiwo",48
"2557","CP_201807C.2","Homo sapiens",32
"2558","CP_201807C.2","Leathesia marina",4
"2559","CP_201807C.2","Littorina plena",21
"2560","CP_201807C.2","Mazzaella splendens",72
"2561","CP_201807C.2","Membranipora membranacea",26
"2562","CP_201807C.2","Micromonas pusilla",5373
"2563","CP_201807C.2","Minutocellus polymorphus",659
"2564","CP_201807C.2","Muggiaea atlantica",9
"2565","CP_201807C.2","Navicula sp. BOLD:AAO6951",16
"2566","CP_201807C.2","Nereis vexillosa",51
"2567","CP_201807C.2","Nereocystis luetkeana",40
"2568","CP_201807C.2","Paracalanus sp. C AC-2013",4
"2569","CP_201807C.2","Penicillium rubens",18
"2570","CP_201807C.2","Penicillium sclerotiorum",12
"2571","CP_201807C.2","Phacellophora camtschatica",10
"2572","CP_201807C.2","Phaeocystis globosa",6
"2573","CP_201807C.2","Polysiphonia hendryi",4
"2574","CP_201807C.2","Protoperidinium cf. depressum",39
"2575","CP_201807C.2","Pyropia fallax",603
"2576","CP_201807C.2","Pyropia perforata",4
"2577","CP_201807C.2","Pythium tracheiphilum",24
"2578","CP_201807C.2","Rhizosolenia setigera",2914
"2579","CP_201807C.2","Sarcodiotheca sp. 2gaudichaudii",13
"2580","CP_201807C.2","Schistomeringos longicornis",62
"2581","CP_201807C.2","Schizobranchia insignis",103
"2582","CP_201807C.2","Semibalanus cariosus",400
"2583","CP_201807C.2","Smithora naiadum",58
"2584","CP_201807C.2","Strongylocentrotus droebachiensis",10
"2585","CP_201807C.2","Thalassiosira nordenskioeldii",379
"2586","CP_201807C.2","Thelepus crispus",11
"2587","CP_201807C.2","Thelepus sp. CMC01",657
"2588","CP_201807C.2","Wildemania amplissima",11
"2589","CP_201807C.2","Wildemania sp. 5POR",9919
"2590","CP_201807C.2","Wildemania sp. HK-2011",29
"2591","CP_201807C.2",NA,28023
"2592","CP_201807C.3","Acartia longiremis",3387
"2593","CP_201807C.3","Amathia vidovici",14
"2594","CP_201807C.3","Ammodytes hexapterus",475
"2595","CP_201807C.3","Balanus glandula",194
"2596","CP_201807C.3","Bathycoccus prasinos",3370
"2597","CP_201807C.3","Boccardia proboscidea",8
"2598","CP_201807C.3","Chthamalus dalli",8
"2599","CP_201807C.3","Clytia gracilis",10
"2600","CP_201807C.3","Corallina vancouveriensis",20
"2601","CP_201807C.3","Coscinodiscus wailesii",4152
"2602","CP_201807C.3","Dictyocha speculum",116
"2603","CP_201807C.3","Euclymene oerstedi",343
"2604","CP_201807C.3","Fucus distichus",5
"2605","CP_201807C.3","Grammonema striatula",298
"2606","CP_201807C.3","Halichondria panicea",66
"2607","CP_201807C.3","Haliclystus sanjuanensis",6
"2608","CP_201807C.3","Hecatonema maculans",14
"2609","CP_201807C.3","Heterocapsa rotundata",532
"2610","CP_201807C.3","Heterosigma akashiwo",54
"2611","CP_201807C.3","Hildenbrandia sp. 27GWS",24
"2612","CP_201807C.3","Homo sapiens",32
"2613","CP_201807C.3","Liparis florae",17
"2614","CP_201807C.3","Lottia paradigitalis",99
"2615","CP_201807C.3","Mazzaella splendens",83
"2616","CP_201807C.3","Membranipora membranacea",71
"2617","CP_201807C.3","Micromonas pusilla",5861
"2618","CP_201807C.3","Minutocellus polymorphus",784
"2619","CP_201807C.3","Navicula sp. BOLD:AAO6950",5
"2620","CP_201807C.3","Navicula sp. BOLD:AAO6951",8
"2621","CP_201807C.3","Nereocystis luetkeana",61
"2622","CP_201807C.3","Nicolea zostericola",11
"2623","CP_201807C.3","Nitzschia cf. promare",23
"2624","CP_201807C.3","Odonthalia floccosa",5
"2625","CP_201807C.3","Orthopyxis integra",11
"2626","CP_201807C.3","Penicillium rubens",12
"2627","CP_201807C.3","Phaeocystis globosa",7
"2628","CP_201807C.3","Pinnularia subanglica",4
"2629","CP_201807C.3","Plagiogramma sp. IAL-2014a",2
"2630","CP_201807C.3","Platynereis sp. CMC02",22
"2631","CP_201807C.3","Protoperidinium cf. depressum",50
"2632","CP_201807C.3","Pseudo-nitzschia hasleana",12
"2633","CP_201807C.3","Pyropia fallax",636
"2634","CP_201807C.3","Rhizosolenia setigera",3709
"2635","CP_201807C.3","Semibalanus cariosus",175
"2636","CP_201807C.3","Smithora naiadum",78
"2637","CP_201807C.3","Strongylocentrotus droebachiensis",50
"2638","CP_201807C.3","Thalassiosira nordenskioeldii",464
"2639","CP_201807C.3","Thelepus crispus",33
"2640","CP_201807C.3","Thelepus sp. CMC01",1049
"2641","CP_201807C.3","Wildemania amplissima",12
"2642","CP_201807C.3","Wildemania sp. 5POR",11150
"2643","CP_201807C.3",NA,31974
"2644","FH_201706A.1","Acartia longiremis",374
"2645","FH_201706A.1","Attheya longicornis",7
"2646","FH_201706A.1","Chaetoceros socialis",5283
"2647","FH_201706A.1","Chordariaceae sp. 7 AP-2014",5
"2648","FH_201706A.1","Dictyocha speculum",2
"2649","FH_201706A.1","Ditylum brightwellii",11
"2650","FH_201706A.1","Heterocapsa rotundata",12
"2651","FH_201706A.1","Micromonas pusilla",325
"2652","FH_201706A.1","Minutocellus polymorphus",6
"2653","FH_201706A.1","Phaeocystis antarctica",14
"2654","FH_201706A.1","Thalassiosira nordenskioeldii",36
"2655","FH_201706A.1",NA,2803
"2656","FH_201706A.2","Acartia longiremis",1176
"2657","FH_201706A.2","Attheya longicornis",20
"2658","FH_201706A.2","Blastocladiella emersonii",5
"2659","FH_201706A.2","Chaetoceros socialis",10374
"2660","FH_201706A.2","Chattonella subsalsa",10
"2661","FH_201706A.2","Chordariaceae sp. 7 AP-2014",31
"2662","FH_201706A.2","Chrysochromulina sp. CCMP291",4
"2663","FH_201706A.2","Coscinodiscus wailesii",11
"2664","FH_201706A.2","Dictyocha speculum",4
"2665","FH_201706A.2","Ditylum brightwellii",51
"2666","FH_201706A.2","Heterocapsa rotundata",47
"2667","FH_201706A.2","Micromonas pusilla",1108
"2668","FH_201706A.2","Minutocellus polymorphus",74
"2669","FH_201706A.2","Phaeocystis antarctica",27
"2670","FH_201706A.2","Protoperidinium cf. depressum",17
"2671","FH_201706A.2","Pseudo-nitzschia delicatissima",15
"2672","FH_201706A.2","Pseudo-nitzschia hasleana",27
"2673","FH_201706A.2","Pythium tracheiphilum",20
"2674","FH_201706A.2","Skeletonema japonicum",9
"2675","FH_201706A.2","Striaria attenuata",10
"2676","FH_201706A.2","Thalassionema nitzschioides",8
"2677","FH_201706A.2","Thalassiosira nordenskioeldii",124
"2678","FH_201706A.2","Thalassiosira pseudonana",7
"2679","FH_201706A.2","Triparma laevis",8
"2680","FH_201706A.2",NA,6177
"2681","FH_201706A.3","Acartia longiremis",502
"2682","FH_201706A.3","Attheya longicornis",23
"2683","FH_201706A.3","Azumapecten farreri",39
"2684","FH_201706A.3","Bathycoccus prasinos",218
"2685","FH_201706A.3","Chaetoceros socialis",5314
"2686","FH_201706A.3","Chattonella subsalsa",16
"2687","FH_201706A.3","Chordariaceae sp. 7 AP-2014",63
"2688","FH_201706A.3","Coscinodiscus wailesii",10
"2689","FH_201706A.3","Dictyocha speculum",7
"2690","FH_201706A.3","Ditylum brightwellii",48
"2691","FH_201706A.3","Gymnodinium sp. NVA/RUS/2008",9
"2692","FH_201706A.3","Heterocapsa rotundata",119
"2693","FH_201706A.3","Micromonas pusilla",926
"2694","FH_201706A.3","Minutocellus polymorphus",47
"2695","FH_201706A.3","Phaeocystis antarctica",26
"2696","FH_201706A.3","Protoperidinium cf. depressum",38
"2697","FH_201706A.3","Pseudo-nitzschia delicatissima",8
"2698","FH_201706A.3","Pseudo-nitzschia hasleana",14
"2699","FH_201706A.3","Pythium tracheiphilum",26
"2700","FH_201706A.3","Striaria attenuata",17
"2701","FH_201706A.3","Thalassionema nitzschioides",22
"2702","FH_201706A.3","Thalassiosira nordenskioeldii",107
"2703","FH_201706A.3","Triparma laevis",3
"2704","FH_201706A.3",NA,7293
"2705","FH_201706B.1","Acartia longiremis",981
"2706","FH_201706B.1","Attheya longicornis",17
"2707","FH_201706B.1","Bathycoccus prasinos",15
"2708","FH_201706B.1","Centropages abdominalis",15567
"2709","FH_201706B.1","Chaetoceros socialis",20310
"2710","FH_201706B.1","Chattonella subsalsa",36
"2711","FH_201706B.1","Chordariaceae sp. 7 AP-2014",34
"2712","FH_201706B.1","Coscinodiscus wailesii",11
"2713","FH_201706B.1","Dictyocha speculum",11
"2714","FH_201706B.1","Ditylum brightwellii",23
"2715","FH_201706B.1","Heterocapsa rotundata",47
"2716","FH_201706B.1","Maculaura alaskensis",143
"2717","FH_201706B.1","Micromonas pusilla",1408
"2718","FH_201706B.1","Minutocellus polymorphus",96
"2719","FH_201706B.1","Nitzschia cf. promare",3
"2720","FH_201706B.1","Phaeocystis antarctica",76
"2721","FH_201706B.1","Pseudo-nitzschia delicatissima",15
"2722","FH_201706B.1","Pseudo-nitzschia hasleana",43
"2723","FH_201706B.1","Pythium tracheiphilum",38
"2724","FH_201706B.1","Skeletonema japonicum",4
"2725","FH_201706B.1","Striaria attenuata",15
"2726","FH_201706B.1","Thalassionema nitzschioides",7
"2727","FH_201706B.1","Thalassiosira nordenskioeldii",120
"2728","FH_201706B.1","Triparma laevis",4
"2729","FH_201706B.1",NA,13192
"2730","FH_201706B.2","Acartia longiremis",324
"2731","FH_201706B.2","Attheya longicornis",6
"2732","FH_201706B.2","Blastocladiella emersonii",4
"2733","FH_201706B.2","Centropages abdominalis",3449
"2734","FH_201706B.2","Chaetoceros socialis",7016
"2735","FH_201706B.2","Chordariaceae sp. 7 AP-2014",7
"2736","FH_201706B.2","Coscinodiscus wailesii",9
"2737","FH_201706B.2","Dictyocha speculum",6
"2738","FH_201706B.2","Ditylum brightwellii",20
"2739","FH_201706B.2","Heterocapsa rotundata",12
"2740","FH_201706B.2","Maculaura alaskensis",16
"2741","FH_201706B.2","Micromonas pusilla",592
"2742","FH_201706B.2","Minutocellus polymorphus",153
"2743","FH_201706B.2","Phaeocystis antarctica",29
"2744","FH_201706B.2","Pseudo-nitzschia delicatissima",9
"2745","FH_201706B.2","Pseudo-nitzschia hasleana",5
"2746","FH_201706B.2","Pythium tracheiphilum",22
"2747","FH_201706B.2","Striaria attenuata",9
"2748","FH_201706B.2","Thalassionema nitzschioides",8
"2749","FH_201706B.2","Thalassiosira nordenskioeldii",132
"2750","FH_201706B.2","Triparma laevis",8
"2751","FH_201706B.2",NA,4449
"2752","FH_201706B.3","Acartia longiremis",204
"2753","FH_201706B.3","Attheya longicornis",25
"2754","FH_201706B.3","Centropages abdominalis",1991
"2755","FH_201706B.3","Chaetoceros socialis",4904
"2756","FH_201706B.3","Chattonella subsalsa",12
"2757","FH_201706B.3","Coscinodiscus wailesii",13
"2758","FH_201706B.3","Cylindrotheca closterium",2
"2759","FH_201706B.3","Cymbomonas tetramitiformis",3
"2760","FH_201706B.3","Ditylum brightwellii",32
"2761","FH_201706B.3","Emiliania huxleyi",9
"2762","FH_201706B.3","Heterocapsa rotundata",44
"2763","FH_201706B.3","Maculaura alaskensis",46
"2764","FH_201706B.3","Micromonas pusilla",888
"2765","FH_201706B.3","Minutocellus polymorphus",149
"2766","FH_201706B.3","Phaeocystis antarctica",40
"2767","FH_201706B.3","Protoperidinium cf. depressum",22
"2768","FH_201706B.3","Pseudo-nitzschia delicatissima",34
"2769","FH_201706B.3","Pseudo-nitzschia hasleana",150
"2770","FH_201706B.3","Pythium tracheiphilum",14
"2771","FH_201706B.3","Skeletonema japonicum",11
"2772","FH_201706B.3","Striaria attenuata",25
"2773","FH_201706B.3","Thalassiosira nordenskioeldii",174
"2774","FH_201706B.3","Thalassiosira pseudonana",6
"2775","FH_201706B.3",NA,5631
"2776","FH_201706C.1","Acartia longiremis",569
"2777","FH_201706C.1","Attheya longicornis",10
"2778","FH_201706C.1","Blastocladiella emersonii",3
"2779","FH_201706C.1","Centropages abdominalis",819
"2780","FH_201706C.1","Chaetoceros socialis",4814
"2781","FH_201706C.1","Chordariaceae sp. 7 AP-2014",19
"2782","FH_201706C.1","Cymbomonas tetramitiformis",2
"2783","FH_201706C.1","Dictyocha speculum",5
"2784","FH_201706C.1","Ditylum brightwellii",33
"2785","FH_201706C.1","Heterocapsa rotundata",16
"2786","FH_201706C.1","Micromonas pusilla",706
"2787","FH_201706C.1","Minutocellus polymorphus",52
"2788","FH_201706C.1","Phaeocystis antarctica",45
"2789","FH_201706C.1","Pseudo-nitzschia delicatissima",4
"2790","FH_201706C.1","Pseudo-nitzschia hasleana",23
"2791","FH_201706C.1","Pythium tracheiphilum",11
"2792","FH_201706C.1","Skeletonema japonicum",7
"2793","FH_201706C.1","Striaria attenuata",10
"2794","FH_201706C.1","Synchaeta pectinata",3
"2795","FH_201706C.1","Thalassionema nitzschioides",8
"2796","FH_201706C.1","Thalassiosira nordenskioeldii",122
"2797","FH_201706C.1","Thalassiosira pseudonana",7
"2798","FH_201706C.1",NA,3919
"2799","FH_201706C.2","Acartia longiremis",3949
"2800","FH_201706C.2","Aequorea sp. MW-2012",7
"2801","FH_201706C.2","Anisolpidium ectocarpii",7
"2802","FH_201706C.2","Asterionellopsis glacialis",8
"2803","FH_201706C.2","Attheya longicornis",56
"2804","FH_201706C.2","Azumapecten farreri",5
"2805","FH_201706C.2","Bathycoccus prasinos",48
"2806","FH_201706C.2","Centropages abdominalis",3057
"2807","FH_201706C.2","Chaetoceros socialis",27398
"2808","FH_201706C.2","Chattonella subsalsa",75
"2809","FH_201706C.2","Chordariaceae sp. 7 AP-2014",103
"2810","FH_201706C.2","Chrysochromulina sp. CCMP291",14
"2811","FH_201706C.2","Coscinodiscus wailesii",12
"2812","FH_201706C.2","Cymbomonas tetramitiformis",14
"2813","FH_201706C.2","Dictyocha speculum",89
"2814","FH_201706C.2","Ditylum brightwellii",153
"2815","FH_201706C.2","Emiliania huxleyi",52
"2816","FH_201706C.2","Gomphonema clevei",1
"2817","FH_201706C.2","Gymnodinium sp. NVA/RUS/2008",26
"2818","FH_201706C.2","Heterocapsa rotundata",115
"2819","FH_201706C.2","Hincksia hincksiae",7
"2820","FH_201706C.2","Micromonas pusilla",4187
"2821","FH_201706C.2","Minutocellus polymorphus",127
"2822","FH_201706C.2","Nitzschia cf. promare",13
"2823","FH_201706C.2","Paracalanus sp. C AC-2013",21
"2824","FH_201706C.2","Phaeocystis antarctica",66
"2825","FH_201706C.2","Phaeocystis globosa",11
"2826","FH_201706C.2","Protoperidinium cf. depressum",48
"2827","FH_201706C.2","Pseudo-nitzschia delicatissima",90
"2828","FH_201706C.2","Pseudo-nitzschia hasleana",160
"2829","FH_201706C.2","Pyramimonas parkeae",20
"2830","FH_201706C.2","Pythium pachycaule",9
"2831","FH_201706C.2","Pythium tracheiphilum",134
"2832","FH_201706C.2","Rhodomonas salina",2
"2833","FH_201706C.2","Scopalina ruetzleri",4
"2834","FH_201706C.2","Skeletonema japonicum",11
"2835","FH_201706C.2","Striaria attenuata",39
"2836","FH_201706C.2","Synchaeta pectinata",32
"2837","FH_201706C.2","Thalassionema nitzschioides",40
"2838","FH_201706C.2","Thalassiosira nordenskioeldii",292
"2839","FH_201706C.2","Thalassiosira pseudonana",14
"2840","FH_201706C.2","Thalassiosira punctigera",4
"2841","FH_201706C.2","Triparma laevis",25
"2842","FH_201706C.2",NA,29943
"2843","FH_201706C.3","Acartia longiremis",2051
"2844","FH_201706C.3","Asterionellopsis glacialis",12
"2845","FH_201706C.3","Attheya longicornis",196
"2846","FH_201706C.3","Bathycoccus prasinos",143
"2847","FH_201706C.3","Blastocladiella emersonii",19
"2848","FH_201706C.3","Centropages abdominalis",821
"2849","FH_201706C.3","Chaetoceros socialis",24354
"2850","FH_201706C.3","Chattonella subsalsa",153
"2851","FH_201706C.3","Chondracanthus exasperatus",4
"2852","FH_201706C.3","Chordariaceae sp. 7 AP-2014",261
"2853","FH_201706C.3","Chrysochromulina sp. CCMP291",20
"2854","FH_201706C.3","Coscinodiscus wailesii",27
"2855","FH_201706C.3","Cylindrotheca closterium",26
"2856","FH_201706C.3","Cymbomonas tetramitiformis",61
"2857","FH_201706C.3","Dictyocha speculum",186
"2858","FH_201706C.3","Ditylum brightwellii",466
"2859","FH_201706C.3","Emiliania huxleyi",37
"2860","FH_201706C.3","Gymnodinium sp. NVA/RUS/2008",17
"2861","FH_201706C.3","Hematodinium sp.",3
"2862","FH_201706C.3","Heterocapsa rotundata",633
"2863","FH_201706C.3","Leitoscoloplos pugettensis CMC01",5
"2864","FH_201706C.3","Mesocentrotus franciscanus",84
"2865","FH_201706C.3","Micromonas pusilla",6616
"2866","FH_201706C.3","Minutocellus polymorphus",72
"2867","FH_201706C.3","Nitzschia cf. promare",12
"2868","FH_201706C.3","Paracalanus sp. C AC-2013",56
"2869","FH_201706C.3","Pedospumella sinomuralis",19
"2870","FH_201706C.3","Petalonia fascia",2
"2871","FH_201706C.3","Phaeocystis antarctica",27
"2872","FH_201706C.3","Phaeocystis globosa",7
"2873","FH_201706C.3","Phytophthora riparia",23
"2874","FH_201706C.3","Phytophthora taxon paludosa",11
"2875","FH_201706C.3","Pinnularia sp. 5 CS-2011",12
"2876","FH_201706C.3","Protoperidinium cf. depressum",358
"2877","FH_201706C.3","Pseudo-nitzschia delicatissima",178
"2878","FH_201706C.3","Pseudo-nitzschia hasleana",123
"2879","FH_201706C.3","Pyramimonas parkeae",48
"2880","FH_201706C.3","Pythium pachycaule",37
"2881","FH_201706C.3","Pythium tracheiphilum",43
"2882","FH_201706C.3","Scopalina ruetzleri",13
