sample,bio,tech,species,nReads
LK_201707,A,1,Chattonella subsalsa,34
LK_201707,A,1,Clytia gracilis,166
LK_201707,A,1,Coscinodiscus wailesii,340
LK_201707,A,1,Cylindrotheca closterium,96
LK_201707,A,1,Cystoseira geminata,8
LK_201707,A,1,Hecatonema maculans,90
LK_201707,A,1,Lacuna vincta,747
LK_201707,A,1,Laminariocolax aecidioides,6
LK_201707,A,1,Membranipora membranacea,261
LK_201707,A,1,Microcladia coulteri,2
LK_201707,A,1,Micromonas pusilla,46
LK_201707,A,1,Minutocellus polymorphus,9
LK_201707,A,1,Nereocystis luetkeana,165
LK_201707,A,1,Phacellophora camtschatica,534
LK_201707,A,1,Pseudocalanus newmani,285
LK_201707,A,1,Pterosiphonia bipinnata,8
LK_201707,A,1,Pythium tracheiphilum,34
LK_201707,A,1,Rhizosolenia setigera,41
LK_201707,A,1,Semibalanus cariosus,86
LK_201707,A,1,Stephanopyxis turris,2
LK_201707,A,1,Strongylocentrotus droebachiensis,188
LK_201707,A,1,Thalassiosira nordenskioeldii,10
LK_201707,A,1,Thecamonas trahens,25
LK_201707,A,1,Thelepus crispus,44
LK_201707,A,1,NA,7467
LK_201707,A,2,Aequorea sp. MW-2012,12
LK_201707,A,2,Apodachlya minima,6
LK_201707,A,2,Attheya longicornis,4
LK_201707,A,2,Bossiella frondescens,14
LK_201707,A,2,Cliona chilensis,4
LK_201707,A,2,Clytia gracilis,38
LK_201707,A,2,Corallina vancouveriensis,9
LK_201707,A,2,Coscinodiscus wailesii,341
LK_201707,A,2,Cylindrotheca closterium,117
LK_201707,A,2,Cystoseira geminata,63
LK_201707,A,2,Dictyocha speculum,6
LK_201707,A,2,Ditylum brightwellii,7
LK_201707,A,2,Hecatonema maculans,210
LK_201707,A,2,Lacuna vincta,762
LK_201707,A,2,Laminariocolax aecidioides,10
LK_201707,A,2,Membranipora membranacea,329
LK_201707,A,2,Microcladia coulteri,5
LK_201707,A,2,Micromonas pusilla,60
LK_201707,A,2,Microspongium alariae,37
LK_201707,A,2,Minutocellus polymorphus,88
LK_201707,A,2,Navicula glaciei,30
LK_201707,A,2,Navicula sp. BOLD:AAO6951,6
LK_201707,A,2,Nereocystis luetkeana,472
LK_201707,A,2,Nitzschia cf. promare,61
LK_201707,A,2,Odonthalia floccosa,6
LK_201707,A,2,Paracalanus sp. C AC-2013,5
LK_201707,A,2,Phacellophora camtschatica,245
LK_201707,A,2,Phytophthora riparia,8
LK_201707,A,2,Pinnularia sp. 5 CS-2011,5
LK_201707,A,2,Platynereis bicanaliculata,11
LK_201707,A,2,Pseudocalanus newmani,134
LK_201707,A,2,Pyropia nereocystis,2
LK_201707,A,2,Rhizosolenia setigera,21
LK_201707,A,2,Skeletonema japonicum,2
LK_201707,A,2,Strongylocentrotus droebachiensis,25
LK_201707,A,2,Thalassiosira nordenskioeldii,11
LK_201707,A,2,NA,10184
LK_201707,A,3,Attheya longicornis,63
LK_201707,A,3,Bathycoccus prasinos,72
LK_201707,A,3,Blastocladiella emersonii,35
LK_201707,A,3,Bossiella frondescens,97
LK_201707,A,3,Calliarthron tuberculosum,11
LK_201707,A,3,Chaetoceros socialis,41
LK_201707,A,3,Chattonella subsalsa,59
LK_201707,A,3,Cliona chilensis,3
LK_201707,A,3,Clytia gracilis,32
LK_201707,A,3,Coscinodiscus wailesii,1658
LK_201707,A,3,Cylindrotheca closterium,361
LK_201707,A,3,Ditylum brightwellii,34
LK_201707,A,3,Eunice valens,1487
LK_201707,A,3,Glycera sp. CMC03,7
LK_201707,A,3,Grammonema striatula,174
LK_201707,A,3,Halichondria panicea,141
LK_201707,A,3,Hecatonema maculans,1751
LK_201707,A,3,Hematodinium sp.,46
LK_201707,A,3,Lacuna vincta,4568
LK_201707,A,3,Laminariocolax aecidioides,32
LK_201707,A,3,Leathesia marina,16
LK_201707,A,3,Membranipora membranacea,1497
LK_201707,A,3,Microcladia coulteri,106
LK_201707,A,3,Micromonas pusilla,323
LK_201707,A,3,Minutocellus polymorphus,407
LK_201707,A,3,Navicula cryptocephala,4
LK_201707,A,3,Navicula glaciei,72
LK_201707,A,3,Neorhodomela oregona,30
LK_201707,A,3,Nereocystis luetkeana,1965
LK_201707,A,3,Nitzschia cf. promare,113
LK_201707,A,3,Odonthalia floccosa,8
LK_201707,A,3,Orthopyxis integra,9
LK_201707,A,3,Paracalanus sp. C AC-2013,18
LK_201707,A,3,Phacellophora camtschatica,505
LK_201707,A,3,Phaeocystis globosa,9
LK_201707,A,3,Polysiphonia hendryi,253
LK_201707,A,3,Poteriospumella lacustris,24
LK_201707,A,3,Protoperidinium cf. depressum,73
LK_201707,A,3,Pseudocalanus newmani,817
LK_201707,A,3,Pseudochattonella farcimen,3
LK_201707,A,3,Pyropia nereocystis,22
LK_201707,A,3,Pythium tracheiphilum,17
LK_201707,A,3,Rhizosolenia setigera,139
LK_201707,A,3,Salispina spinosa,10
LK_201707,A,3,Strongylocentrotus droebachiensis,3
LK_201707,A,3,Thalassiosira nordenskioeldii,177
LK_201707,A,3,Thecamonas trahens,155
LK_201707,A,3,NA,37836
LK_201707,B,1,Asterionellopsis tropicalis,8
LK_201707,B,1,Attheya longicornis,45
LK_201707,B,1,Bathycoccus prasinos,29
LK_201707,B,1,Blastocladiella emersonii,24
LK_201707,B,1,Brachionidae sp. SHYT150702c,15
LK_201707,B,1,Calanus pacificus,372
LK_201707,B,1,Chaetoceros socialis,132
LK_201707,B,1,Chaetoceros sp. MBTD-CMFRI-S062,2
LK_201707,B,1,Chattonella subsalsa,122
LK_201707,B,1,Chordariaceae sp. 7 AP-2014,14
LK_201707,B,1,Clytia gracilis,12
LK_201707,B,1,Coscinodiscus wailesii,6084
LK_201707,B,1,Cylindrotheca closterium,25
LK_201707,B,1,Cystoseira geminata,4
LK_201707,B,1,Dictyocha speculum,194
LK_201707,B,1,Ditylum brightwellii,47
LK_201707,B,1,Emiliania huxleyi,4
LK_201707,B,1,Eucampia zodiacus,6
LK_201707,B,1,Halichondria panicea,4
LK_201707,B,1,Halidrys siliquosa,19
LK_201707,B,1,Heterocapsa rotundata,5
LK_201707,B,1,Membranipora membranacea,33
LK_201707,B,1,Micromonas pusilla,539
LK_201707,B,1,Minutocellus polymorphus,200
LK_201707,B,1,Mytilus trossulus,59
LK_201707,B,1,Nereocystis luetkeana,19
LK_201707,B,1,Paracalanus sp. C AC-2013,18
LK_201707,B,1,Phaeocystis antarctica,430
LK_201707,B,1,Phaeocystis globosa,25
LK_201707,B,1,Poteriospumella lacustris,11
LK_201707,B,1,Protoperidinium cf. depressum,106
LK_201707,B,1,Pseudo-nitzschia hasleana,11
LK_201707,B,1,Pseudocalanus moultoni,18
LK_201707,B,1,Pseudocalanus newmani,4214
LK_201707,B,1,Pythium tracheiphilum,416
LK_201707,B,1,Rhizosolenia setigera,13
LK_201707,B,1,Stephanopyxis turris,79
LK_201707,B,1,Strongylocentrotus droebachiensis,32
LK_201707,B,1,Synchaeta pectinata,30
LK_201707,B,1,Thalassiosira nordenskioeldii,137
LK_201707,B,1,NA,36316
LK_201707,B,2,Brachionidae sp. SHYT150702c,19
LK_201707,B,2,Calanus pacificus,28
LK_201707,B,2,Chaetoceros socialis,30
LK_201707,B,2,Chattonella subsalsa,69
LK_201707,B,2,Chrysochromulina sp. CCMP291,4
LK_201707,B,2,Coscinodiscus wailesii,1434
LK_201707,B,2,Dictyocha speculum,6
LK_201707,B,2,Ditylum brightwellii,17
LK_201707,B,2,Heterocapsa rotundata,23
LK_201707,B,2,Membranipora membranacea,13
LK_201707,B,2,Micromonas pusilla,139
LK_201707,B,2,Minutocellus polymorphus,138
LK_201707,B,2,Phaeocystis antarctica,52
LK_201707,B,2,Pseudocalanus newmani,882
LK_201707,B,2,Pythium tracheiphilum,49
LK_201707,B,2,Ralfsioid sp. 4GWS,8
LK_201707,B,2,Rhizosolenia setigera,62
LK_201707,B,2,Stephanopyxis turris,9
LK_201707,B,2,Synchaeta pectinata,2
LK_201707,B,2,Thalassiosira nordenskioeldii,5
LK_201707,B,2,Triparma laevis,7
LK_201707,B,2,NA,6462
LK_201707,B,3,Brachionidae sp. SHYT150702c,5
LK_201707,B,3,Calanus pacificus,88
LK_201707,B,3,Chaetoceros socialis,16
LK_201707,B,3,Chattonella subsalsa,69
LK_201707,B,3,Coscinodiscus wailesii,1308
LK_201707,B,3,Cylindrotheca closterium,9
LK_201707,B,3,Dictyocha speculum,148
LK_201707,B,3,Ditylum brightwellii,25
LK_201707,B,3,Hecatonema maculans,5
LK_201707,B,3,Heterocapsa rotundata,58
LK_201707,B,3,Micromonas pusilla,219
LK_201707,B,3,Minutocellus polymorphus,101
LK_201707,B,3,Mytilus trossulus,11
LK_201707,B,3,Nereocystis luetkeana,20
LK_201707,B,3,Odonthalia floccosa,2
LK_201707,B,3,Phaeocystis antarctica,4
LK_201707,B,3,Phaeocystis globosa,6
LK_201707,B,3,Poteriospumella lacustris,10
LK_201707,B,3,Protoperidinium cf. depressum,94
LK_201707,B,3,Pseudocalanus moultoni,18
LK_201707,B,3,Pseudocalanus newmani,348
LK_201707,B,3,Pythium tracheiphilum,56
LK_201707,B,3,Rhizosolenia setigera,36
LK_201707,B,3,Stephanopyxis turris,30
LK_201707,B,3,Strongylocentrotus droebachiensis,10
LK_201707,B,3,Thalassiosira nordenskioeldii,13
LK_201707,B,3,NA,11042
LK_201707,C,1,Acartia longiremis,11890
LK_201707,C,1,Bathycoccus prasinos,170
LK_201707,C,1,Blastocladiella emersonii,11
LK_201707,C,1,Brachionidae sp. SHYT150702c,23
LK_201707,C,1,Calliarthron tuberculosum,62
LK_201707,C,1,Chaetoceros socialis,270
LK_201707,C,1,Chattonella subsalsa,34
LK_201707,C,1,Coscinodiscus wailesii,3974
LK_201707,C,1,Cylindrotheca closterium,101
LK_201707,C,1,Dictyocha speculum,58
LK_201707,C,1,Ditylum brightwellii,97
LK_201707,C,1,Grammonema striatula,4
LK_201707,C,1,Hecatonema maculans,16
LK_201707,C,1,Hematodinium sp.,7
LK_201707,C,1,Hincksia hincksiae,74
LK_201707,C,1,Lacuna vincta,928
LK_201707,C,1,Membranipora membranacea,397
LK_201707,C,1,Micromonas pusilla,722
LK_201707,C,1,Minutocellus polymorphus,810
LK_201707,C,1,Nereocystis luetkeana,56
LK_201707,C,1,Nitzschia cf. promare,64
LK_201707,C,1,Paracalanus sp. C AC-2013,38
LK_201707,C,1,Phaeocystis globosa,8
LK_201707,C,1,Polysiphonia hendryi,21
LK_201707,C,1,Poteriospumella lacustris,21
LK_201707,C,1,Protoperidinium cf. depressum,37
LK_201707,C,1,Pseudocalanus moultoni,5
LK_201707,C,1,Pseudocalanus newmani,4616
LK_201707,C,1,Pterosiphonia bipinnata,47
LK_201707,C,1,Pythium tracheiphilum,462
LK_201707,C,1,Rhizosolenia setigera,34
LK_201707,C,1,Semibalanus cariosus,85
LK_201707,C,1,Skeletonema dohrnii,4
LK_201707,C,1,Stephanopyxis turris,24
LK_201707,C,1,Strongylocentrotus droebachiensis,618
LK_201707,C,1,Syllis alternata CMC01,6328
LK_201707,C,1,Synchaeta pectinata,13
LK_201707,C,1,Thalassionema nitzschioides,5
LK_201707,C,1,Thalassiosira nordenskioeldii,30
LK_201707,C,1,Thecamonas trahens,8
LK_201707,C,1,Tonicella lineata,40
LK_201707,C,1,NA,26986
LK_201707,C,2,Acartia longiremis,7863
LK_201707,C,2,Attheya longicornis,10
LK_201707,C,2,Calliarthron tuberculosum,130
LK_201707,C,2,Chaetoceros socialis,174
LK_201707,C,2,Chattonella subsalsa,106
LK_201707,C,2,Chthamalus dalli,53
LK_201707,C,2,Clytia gracilis,5
LK_201707,C,2,Coscinodiscus wailesii,3078
LK_201707,C,2,Cylindrotheca closterium,482
LK_201707,C,2,Dictyocha speculum,59
LK_201707,C,2,Ditylum brightwellii,38
LK_201707,C,2,Dodecaceria sp. CMC01,58
LK_201707,C,2,Grammonema striatula,431
LK_201707,C,2,Halichondria panicea,225
LK_201707,C,2,Hecatonema maculans,24
LK_201707,C,2,Heterocapsa rotundata,68
LK_201707,C,2,Lacuna vincta,277
LK_201707,C,2,Laminariocolax aecidioides,15
LK_201707,C,2,Membranipora membranacea,823
LK_201707,C,2,Micromonas pusilla,480
LK_201707,C,2,Minutocellus polymorphus,231
LK_201707,C,2,Navicula glaciei,29
LK_201707,C,2,Navicula sp. BOLD:AAO6950,6
LK_201707,C,2,Nereocystis luetkeana,40
LK_201707,C,2,Odonthalia floccosa,8
LK_201707,C,2,Paracalanus sp. C AC-2013,33
LK_201707,C,2,Phaeocystis antarctica,557
LK_201707,C,2,Phaeocystis globosa,12
LK_201707,C,2,Polysiphonia hendryi,96
LK_201707,C,2,Protoperidinium cf. depressum,80
LK_201707,C,2,Pseudocalanus moultoni,6
LK_201707,C,2,Pseudocalanus newmani,4104
LK_201707,C,2,Pseudochattonella farcimen,6
LK_201707,C,2,Pyropia nereocystis,7
LK_201707,C,2,Pythium tracheiphilum,466
LK_201707,C,2,Rhizosolenia setigera,87
LK_201707,C,2,Semibalanus cariosus,185
LK_201707,C,2,Stephanopyxis turris,20
LK_201707,C,2,Strongylocentrotus droebachiensis,862
LK_201707,C,2,Syllis alternata CMC01,3758
LK_201707,C,2,Synchaeta pectinata,28
LK_201707,C,2,Thalassiosira nordenskioeldii,112
LK_201707,C,2,Tonicella lineata,20
LK_201707,C,2,NA,24017
LK_201707,C,3,Acartia longiremis,1790
LK_201707,C,3,Apodachlya minima,23
LK_201707,C,3,Balanus glandula,20
LK_201707,C,3,Bathycoccus prasinos,7
LK_201707,C,3,Brachionidae sp. SHYT150702c,7
LK_201707,C,3,Chattonella subsalsa,70
LK_201707,C,3,Clytia gracilis,15
LK_201707,C,3,Corallina vancouveriensis,43
LK_201707,C,3,Coscinodiscus wailesii,469
LK_201707,C,3,Cylindrotheca closterium,99
LK_201707,C,3,Ditylum brightwellii,3
LK_201707,C,3,Heterocapsa rotundata,2
LK_201707,C,3,Lacuna vincta,379
LK_201707,C,3,Membranipora membranacea,210
LK_201707,C,3,Micromonas pusilla,182
LK_201707,C,3,Minutocellus polymorphus,48
LK_201707,C,3,Navicula glaciei,12
LK_201707,C,3,Nereocystis luetkeana,9
LK_201707,C,3,Paracalanus sp. C AC-2013,14
LK_201707,C,3,Polysiphonia hendryi,31
LK_201707,C,3,Protoperidinium cf. depressum,37
LK_201707,C,3,Pseudocalanus newmani,972
LK_201707,C,3,Pythium tracheiphilum,78
LK_201707,C,3,Sellaphora bacillum,2
LK_201707,C,3,Syllis alternata CMC01,1212
LK_201707,C,3,Synchaeta pectinata,31
LK_201707,C,3,Thalassiosira nordenskioeldii,113
LK_201707,C,3,Tonicella lineata,49
LK_201707,C,3,NA,6098
LK_201708,A,1,Azumapecten farreri,24
LK_201708,A,1,Bathycoccus prasinos,44
LK_201708,A,1,Calanus pacificus,30
LK_201708,A,1,Chaetoceros socialis,205
LK_201708,A,1,Chaetoceros sp. MBTD-CMFRI-S062,24
LK_201708,A,1,Corallina vancouveriensis,100
LK_201708,A,1,Cylindrotheca closterium,4
LK_201708,A,1,Dictyocha speculum,38
LK_201708,A,1,Fucus distichus,2
LK_201708,A,1,Grammonema striatula,9
LK_201708,A,1,Halichondria panicea,58
LK_201708,A,1,Lottia paradigitalis,36
LK_201708,A,1,Mazzaella splendens,28
LK_201708,A,1,Membranipora membranacea,122
LK_201708,A,1,Micromonas pusilla,530
LK_201708,A,1,Minutocellus polymorphus,339
LK_201708,A,1,Navicula sp. BOLD:AAO6949,3
LK_201708,A,1,Navicula sp. BOLD:AAO6950,15
LK_201708,A,1,Nereocystis luetkeana,74
LK_201708,A,1,Nitzschia cf. promare,17
LK_201708,A,1,Phaeocystis antarctica,212
LK_201708,A,1,Polydora lingshuiensis,2
LK_201708,A,1,Polysiphonia hendryi,181
LK_201708,A,1,Poteriospumella lacustris,10
LK_201708,A,1,Pseudo-nitzschia delicatissima,7
LK_201708,A,1,Pseudo-nitzschia hasleana,103
LK_201708,A,1,Pseudocalanus newmani,517
LK_201708,A,1,Rhizosolenia setigera,71
LK_201708,A,1,Semibalanus cariosus,192
LK_201708,A,1,Strongylocentrotus droebachiensis,321
LK_201708,A,1,Thalassiosira nordenskioeldii,444
LK_201708,A,1,Thecamonas trahens,10
LK_201708,A,1,Thelepus crispus,298
LK_201708,A,1,NA,6791
LK_201708,A,2,Balanus glandula,51
LK_201708,A,2,Bathycoccus prasinos,63
LK_201708,A,2,Chaetoceros socialis,195
LK_201708,A,2,Chaetoceros sp. MBTD-CMFRI-S062,394
LK_201708,A,2,Clytia gracilis,10
LK_201708,A,2,Coscinodiscus wailesii,19
LK_201708,A,2,Cylindrotheca closterium,593
LK_201708,A,2,Grammonema striatula,3
LK_201708,A,2,Homo sapiens,9
LK_201708,A,2,Mazzaella splendens,27
LK_201708,A,2,Membranipora membranacea,72
LK_201708,A,2,Micromonas pusilla,439
LK_201708,A,2,Minutocellus polymorphus,599
LK_201708,A,2,Nereocystis luetkeana,128
LK_201708,A,2,Nicolea zostericola,15
LK_201708,A,2,Phaeocystis antarctica,501
LK_201708,A,2,Pseudocalanus newmani,1387
LK_201708,A,2,Pyropia nereocystis,2
LK_201708,A,2,Rhizosolenia setigera,26
LK_201708,A,2,Stephanopyxis turris,56
LK_201708,A,2,Thelepus crispus,420
LK_201708,A,2,NA,7685
LK_201708,B,1,Acartia longiremis,782
LK_201708,B,1,Asterionellopsis glacialis,12
LK_201708,B,1,Asterionellopsis tropicalis,37
LK_201708,B,1,Attheya longicornis,62
LK_201708,B,1,Aurelia labiata,5
LK_201708,B,1,Bathycoccus prasinos,1004
LK_201708,B,1,Boccardia proboscidea,93
LK_201708,B,1,Campanularia volubilis,4
LK_201708,B,1,Chaetoceros socialis,399
LK_201708,B,1,Chaetoceros sp. MBTD-CMFRI-S062,39
LK_201708,B,1,Chrysochromulina sp. CCMP291,9
LK_201708,B,1,Clytia gracilis,566
LK_201708,B,1,Coscinodiscus wailesii,13
LK_201708,B,1,Cylindrotheca closterium,1282
LK_201708,B,1,Cystoseira geminata,162
LK_201708,B,1,Devaleraea mollis,12
LK_201708,B,1,Dictyocha speculum,84
LK_201708,B,1,Ditylum brightwellii,50
LK_201708,B,1,Dodecaceria sp. CMC01,31
LK_201708,B,1,Fucus distichus,43
LK_201708,B,1,Gomphonema parvulum,2
LK_201708,B,1,Grammonema striatula,119
LK_201708,B,1,Halichondria panicea,18
LK_201708,B,1,Hecatonema maculans,486
LK_201708,B,1,Heterocapsa rotundata,23
LK_201708,B,1,Hildenbrandia sp. 27GWS,4
LK_201708,B,1,Lacuna vincta,705
LK_201708,B,1,Laminariocolax aecidioides,12
LK_201708,B,1,Littorina sitkana,8
LK_201708,B,1,Lottia paradigitalis,252
LK_201708,B,1,Mazzaella rosea,11
LK_201708,B,1,Mazzaella splendens,492
LK_201708,B,1,Megacyclops viridis,11711
LK_201708,B,1,Membranipora membranacea,1027
LK_201708,B,1,Microcladia coulteri,99
LK_201708,B,1,Micromonas pusilla,3328
LK_201708,B,1,Microspongium alariae,163
LK_201708,B,1,Minutocellus polymorphus,6717
LK_201708,B,1,Muggiaea atlantica,4
LK_201708,B,1,Navicula glaciei,46
LK_201708,B,1,Navicula sp. BOLD:AAO6949,5
LK_201708,B,1,Nereocystis luetkeana,1093
LK_201708,B,1,Nitzschia cf. promare,140
LK_201708,B,1,Odonthalia floccosa,23
LK_201708,B,1,Paracalanus sp. C AC-2013,6
LK_201708,B,1,Paramoeba pemaquidensis,8
LK_201708,B,1,Parvamoeba rugata,7
LK_201708,B,1,Phaeocystis antarctica,1607
LK_201708,B,1,Phaeocystis globosa,4
LK_201708,B,1,Phytophthora taxon paludosa,6
LK_201708,B,1,Pinnularia sp. 5 CS-2011,7
LK_201708,B,1,Polysiphonia hendryi,330
LK_201708,B,1,Poteriospumella lacustris,17
LK_201708,B,1,Pseudo-nitzschia delicatissima,14
LK_201708,B,1,Pseudo-nitzschia hasleana,7
LK_201708,B,1,Pseudocalanus newmani,6465
LK_201708,B,1,Pterosiphonia bipinnata,36
LK_201708,B,1,Pycnococcus provasolii,13
LK_201708,B,1,Pyropia nereocystis,179
LK_201708,B,1,Pythium tracheiphilum,28
LK_201708,B,1,Ralfsioid sp. 4GWS,62
LK_201708,B,1,Rhizosolenia setigera,846
LK_201708,B,1,Rostanga pulchra,9
LK_201708,B,1,Sellaphora pupula,4
LK_201708,B,1,Stephanopyxis turris,13
LK_201708,B,1,Strongylocentrotus droebachiensis,31
LK_201708,B,1,Thalassiosira nordenskioeldii,1209
LK_201708,B,1,Thecamonas trahens,64
LK_201708,B,1,NA,27852
LK_201708,B,2,Acartia longiremis,121
LK_201708,B,2,Apodachlya minima,16
LK_201708,B,2,Asterionellopsis glacialis,6
LK_201708,B,2,Asterionellopsis tropicalis,34
LK_201708,B,2,Attheya longicornis,54
LK_201708,B,2,Azumapecten farreri,48
LK_201708,B,2,Bathycoccus prasinos,1335
LK_201708,B,2,Calanus pacificus,46
LK_201708,B,2,Chaetoceros socialis,455
LK_201708,B,2,Chaetoceros sp. MBTD-CMFRI-S062,34
LK_201708,B,2,Chattonella subsalsa,25
LK_201708,B,2,Cliona chilensis,7
LK_201708,B,2,Clytia gracilis,319
LK_201708,B,2,Corallina vancouveriensis,57
LK_201708,B,2,Coscinodiscus wailesii,35
LK_201708,B,2,Cylindrotheca closterium,704
LK_201708,B,2,Cystoseira geminata,143
LK_201708,B,2,Dasybranchus sp. DH1,12
LK_201708,B,2,Devaleraea mollis,60
LK_201708,B,2,Dictyocha speculum,629
LK_201708,B,2,Ditylum brightwellii,184
LK_201708,B,2,Fucus distichus,4
LK_201708,B,2,Gomphonema parvulum,26
LK_201708,B,2,Grammonema striatula,61
LK_201708,B,2,Hecatonema maculans,821
LK_201708,B,2,Hematodinium sp.,7
LK_201708,B,2,Heterocapsa rotundata,84
LK_201708,B,2,Lacuna vincta,203
LK_201708,B,2,Laminariocolax aecidioides,67
LK_201708,B,2,Lottia paradigitalis,542
LK_201708,B,2,Mazzaella rosea,63
LK_201708,B,2,Mazzaella splendens,412
LK_201708,B,2,Megacyclops viridis,7105
LK_201708,B,2,Membranipora membranacea,1970
LK_201708,B,2,Microcladia coulteri,115
LK_201708,B,2,Micromonas pusilla,4800
LK_201708,B,2,Microspongium alariae,359
LK_201708,B,2,Minutocellus polymorphus,4794
LK_201708,B,2,Muggiaea atlantica,40
LK_201708,B,2,Navicula sp. BOLD:AAO6949,41
LK_201708,B,2,Neorhodomela oregona,12
LK_201708,B,2,Nereis vexillosa,3095
LK_201708,B,2,Nereocystis luetkeana,2968
LK_201708,B,2,Nitzschia cf. promare,125
LK_201708,B,2,Odonthalia floccosa,21
LK_201708,B,2,Orthopyxis integra,10
LK_201708,B,2,Paracalanus sp. C AC-2013,11
LK_201708,B,2,Paramoeba pemaquidensis,4
LK_201708,B,2,Phaeocystis antarctica,378
LK_201708,B,2,Pinnularia sp. 5 CS-2011,30
LK_201708,B,2,Plagiogramma sp. IAL-2014a,5
LK_201708,B,2,Polysiphonia hendryi,263
LK_201708,B,2,Poteriospumella lacustris,38
LK_201708,B,2,Protoperidinium cf. depressum,98
LK_201708,B,2,Pseudocalanus moultoni,13
LK_201708,B,2,Pseudocalanus newmani,4780
LK_201708,B,2,Pycnococcus provasolii,4
LK_201708,B,2,Pyropia nereocystis,636
LK_201708,B,2,Pythium tracheiphilum,20
LK_201708,B,2,Ralfsioid sp. 4GWS,110
LK_201708,B,2,Rhizosolenia setigera,626
LK_201708,B,2,Rostanga pulchra,19
LK_201708,B,2,Sellaphora bacillum,8
LK_201708,B,2,Semibalanus cariosus,38
LK_201708,B,2,Skeletonema cf. pseudocostatum,34
LK_201708,B,2,Stephanopyxis turris,79
LK_201708,B,2,Strongylocentrotus droebachiensis,757
LK_201708,B,2,Thalassiosira nordenskioeldii,376
LK_201708,B,2,Thecamonas trahens,28
LK_201708,B,2,Thelepus crispus,64
LK_201708,B,2,Thelepus sp. CMC01,63
LK_201708,B,2,Triparma laevis,35
LK_201708,B,2,Wildemania sp. 5POR,35
LK_201708,B,2,NA,32289
LK_201708,B,3,Azumapecten farreri,13
LK_201708,B,3,Bathycoccus prasinos,83
LK_201708,B,3,Chaetoceros socialis,40
LK_201708,B,3,Clytia gracilis,68
LK_201708,B,3,Cylindrotheca closterium,15
LK_201708,B,3,Dictyocha speculum,41
LK_201708,B,3,Dodecaceria sp. CMC01,7
LK_201708,B,3,Fucus distichus,4
LK_201708,B,3,Hecatonema maculans,25
LK_201708,B,3,Lacuna vincta,15
LK_201708,B,3,Leptasterias hexactis,17
LK_201708,B,3,Mazzaella splendens,42
LK_201708,B,3,Megacyclops viridis,914
LK_201708,B,3,Membranipora membranacea,224
LK_201708,B,3,Micromonas pusilla,333
LK_201708,B,3,Minutocellus polymorphus,447
LK_201708,B,3,Nereocystis luetkeana,338
LK_201708,B,3,Nitzschia cf. promare,21
LK_201708,B,3,Phaeocystis antarctica,27
LK_201708,B,3,Polysiphonia hendryi,22
LK_201708,B,3,Pseudocalanus newmani,1030
LK_201708,B,3,Pyropia nereocystis,31
LK_201708,B,3,Rhizosolenia setigera,67
LK_201708,B,3,Semibalanus cariosus,32
LK_201708,B,3,Strongylocentrotus droebachiensis,31
LK_201708,B,3,Thalassiosira nordenskioeldii,109
LK_201708,B,3,NA,4528
LK_201708,C,1,Acartia californiensis,76
LK_201708,C,1,Azumapecten farreri,17
LK_201708,C,1,Bathycoccus prasinos,151
LK_201708,C,1,Chaetoceros socialis,39
LK_201708,C,1,Coscinodiscus wailesii,9
LK_201708,C,1,Dictyocha speculum,61
LK_201708,C,1,Grammonema striatula,4
LK_201708,C,1,Membranipora membranacea,85
LK_201708,C,1,Micromonas pusilla,337
LK_201708,C,1,Minutocellus polymorphus,832
LK_201708,C,1,Orthopyxis integra,8
LK_201708,C,1,Phaeocystis antarctica,389
LK_201708,C,1,Pseudocalanus newmani,608
LK_201708,C,1,Pythium tracheiphilum,5
LK_201708,C,1,Rhizosolenia setigera,14
LK_201708,C,1,Strongylocentrotus droebachiensis,26
LK_201708,C,1,Thalassiosira nordenskioeldii,330
LK_201708,C,1,NA,5890
LK_201708,C,2,Acartia californiensis,443
LK_201708,C,2,Asterionellopsis glacialis,17
LK_201708,C,2,Attheya longicornis,26
LK_201708,C,2,Azumapecten farreri,72
LK_201708,C,2,Bathycoccus prasinos,540
LK_201708,C,2,Calliarthron tuberculosum,23
LK_201708,C,2,Chaetoceros socialis,349
LK_201708,C,2,Chaetoceros sp. MBTD-CMFRI-S062,99
LK_201708,C,2,Chattonella subsalsa,40
LK_201708,C,2,Chrysochromulina sp. CCMP291,50
LK_201708,C,2,Coscinodiscus wailesii,35
LK_201708,C,2,Dictyocha speculum,463
LK_201708,C,2,Ditylum brightwellii,10
LK_201708,C,2,Dodecaceria sp. CMC01,7
LK_201708,C,2,Emiliania huxleyi,18
LK_201708,C,2,Hecatonema maculans,4
LK_201708,C,2,Heterocapsa rotundata,21
LK_201708,C,2,Membranipora membranacea,404
LK_201708,C,2,Mesocentrotus franciscanus,33
LK_201708,C,2,Micromonas pusilla,2130
LK_201708,C,2,Minutocellus polymorphus,5657
LK_201708,C,2,Navicula sp. BOLD:AAO6951,4
LK_201708,C,2,Nereocystis luetkeana,13
LK_201708,C,2,Orthopyxis integra,53
LK_201708,C,2,Paracalanus sp. C AC-2013,28
LK_201708,C,2,Phaeocystis antarctica,2042
LK_201708,C,2,Phaeocystis globosa,29
LK_201708,C,2,Phytophthora multivora,7
LK_201708,C,2,Pinnularia sp. 5 CS-2011,5
LK_201708,C,2,Platynereis bicanaliculata,10
LK_201708,C,2,Polysiphonia hendryi,28
